VCT 2026 Stage 2 | AMER + PAC + EMEA + CN
Timezone: Australia/Sydney

2026-07-30 01:00 AEST | EMEA | GIANTX vs Team Liquid | 0:2   | Completed | https://www.vlr.gg/712824/giantx-vs-team-liquid-vct-2026-emea-stage-2-w3
2026-07-30 04:00 AEST | EMEA | Gentle Mates vs Team Vitality | 1:2   | Completed | https://www.vlr.gg/712825/gentle-mates-vs-team-vitality-vct-2026-emea-stage-2-w3
2026-07-30 18:00 AEST | PAC  | VARREL vs DetonatioN FocusMe | 1:2   | Completed | https://www.vlr.gg/698902/varrel-vs-detonation-focusme-vct-2026-pacific-stage-2-w3
2026-07-30 20:00 AEST | PAC  | FULL SENSE vs ZETA DIVISION | 1:2   | Completed | https://www.vlr.gg/698903/full-sense-vs-zeta-division-vct-2026-pacific-stage-2-w3
2026-07-31 01:00 AEST | EMEA | Natus Vincere vs PCIFIC Esports | 2:0   | Completed | https://www.vlr.gg/712826/natus-vincere-vs-pcific-esports-vct-2026-emea-stage-2-w3
2026-07-31 04:00 AEST | EMEA | Eternal Fire vs FNATIC | 2:0   | Completed | https://www.vlr.gg/712827/eternal-fire-vs-fnatic-vct-2026-emea-stage-2-w3
2026-07-31 07:00 AEST | AMER | KRÜ Esports vs G2 Esports | 0:2   | Completed | https://www.vlr.gg/706364/kr-esports-vs-g2-esports-vct-2026-americas-stage-2-w3
2026-07-31 10:00 AEST | AMER | 100 Thieves vs Sentinels | 2:1   | Completed | https://www.vlr.gg/706365/100-thieves-vs-sentinels-vct-2026-americas-stage-2-w3
2026-07-31 18:00 AEST | PAC  | Team Secret vs Paper Rex | TBD   | Upcoming | https://www.vlr.gg/698904/team-secret-vs-paper-rex-vct-2026-pacific-stage-2-w3
2026-07-31 20:00 AEST | PAC  | Global Esports vs Gen.G | TBD   | Upcoming | https://www.vlr.gg/698905/global-esports-vs-gen-g-vct-2026-pacific-stage-2-w3
2026-08-01 01:00 AEST | EMEA | BBL Esports vs Gentle Mates | TBD   | Upcoming | https://www.vlr.gg/712828/bbl-esports-vs-gentle-mates-vct-2026-emea-stage-2-w3
2026-08-01 04:00 AEST | EMEA | GIANTX vs Team Heretics | TBD   | Upcoming | https://www.vlr.gg/712829/giantx-vs-team-heretics-vct-2026-emea-stage-2-w3
2026-08-01 07:00 AEST | AMER | Cloud9 vs LOUD | TBD   | Upcoming | https://www.vlr.gg/706366/cloud9-vs-loud-vct-2026-americas-stage-2-w3
2026-08-01 10:00 AEST | AMER | Evil Geniuses vs MIBR | TBD   | Upcoming | https://www.vlr.gg/706367/evil-geniuses-vs-mibr-vct-2026-americas-stage-2-w3
2026-08-01 18:00 AEST | PAC  | T1 vs DetonatioN FocusMe | TBD   | Upcoming | https://www.vlr.gg/698906/t1-vs-detonation-focusme-vct-2026-pacific-stage-2-w3
2026-08-01 20:00 AEST | PAC  | FULL SENSE vs Rex Regum Qeon | TBD   | Upcoming | https://www.vlr.gg/698907/full-sense-vs-rex-regum-qeon-vct-2026-pacific-stage-2-w3
2026-08-02 01:00 AEST | EMEA | FUT Esports vs Team Vitality | TBD   | Upcoming | https://www.vlr.gg/712830/fut-esports-vs-team-vitality-vct-2026-emea-stage-2-w3
2026-08-02 04:00 AEST | EMEA | Karmine Corp vs Team Liquid | TBD   | Upcoming | https://www.vlr.gg/712831/karmine-corp-vs-team-liquid-vct-2026-emea-stage-2-w3
2026-08-02 07:00 AEST | AMER | ENVY vs FURIA | TBD   | Upcoming | https://www.vlr.gg/706368/envy-vs-furia-vct-2026-americas-stage-2-w3
2026-08-02 10:00 AEST | AMER | LEVIATÁN vs NRG | TBD   | Upcoming | https://www.vlr.gg/706369/leviat-n-vs-nrg-vct-2026-americas-stage-2-w3
2026-08-02 18:00 AEST | PAC  | VARREL vs KIWOOM DRX | TBD   | Upcoming | https://www.vlr.gg/698908/varrel-vs-kiwoom-drx-vct-2026-pacific-stage-2-w3
2026-08-02 20:00 AEST | PAC  | ZETA DIVISION vs Nongshim RedForce | TBD   | Upcoming | https://www.vlr.gg/698909/zeta-division-vs-nongshim-redforce-vct-2026-pacific-stage-2-w3
2026-08-03 01:00 AEST | EMEA | BBL Esports vs PCIFIC Esports | TBD   | Upcoming | https://www.vlr.gg/712832/bbl-esports-vs-pcific-esports-vct-2026-emea-stage-2-w3
2026-08-03 04:00 AEST | EMEA | FNATIC vs Team Heretics | TBD   | Upcoming | https://www.vlr.gg/712833/fnatic-vs-team-heretics-vct-2026-emea-stage-2-w3
2026-08-03 07:00 AEST | AMER | Cloud9 vs KRÜ Esports | TBD   | Upcoming | https://www.vlr.gg/706370/cloud9-vs-kr-esports-vct-2026-americas-stage-2-w3
2026-08-03 10:00 AEST | AMER | G2 Esports vs Sentinels | TBD   | Upcoming | https://www.vlr.gg/706371/g2-esports-vs-sentinels-vct-2026-americas-stage-2-w3
2026-08-05 18:00 AEST | CN   | Trace Esports vs A Team | TBD   | Upcoming | https://www.vlr.gg/724619/trace-esports-vs-a-team-vct-2026-china-stage-2-ur1
2026-08-05 20:00 AEST | CN   | Titan Esports Club vs KeepBest Gaming | TBD   | Upcoming | https://www.vlr.gg/724620/titan-esports-club-vs-keepbest-gaming-vct-2026-china-stage-2-ur1
2026-08-06 18:00 AEST | CN   | FunPlus Phoenix vs JDG Esports | TBD   | Upcoming | https://www.vlr.gg/724621/funplus-phoenix-vs-jdg-esports-vct-2026-china-stage-2-ubqf
2026-08-06 21:00 AEST | CN   | Wolves Esports vs Dragon Ranger Gaming | TBD   | Upcoming | https://www.vlr.gg/724622/wolves-esports-vs-dragon-ranger-gaming-vct-2026-china-stage-2-ubqf
2026-08-07 07:00 AEST | AMER | Evil Geniuses vs FURIA | TBD   | Upcoming | https://www.vlr.gg/706372/evil-geniuses-vs-furia-vct-2026-americas-stage-2-w4
2026-08-07 10:00 AEST | AMER | ENVY vs NRG | TBD   | Upcoming | https://www.vlr.gg/706373/envy-vs-nrg-vct-2026-americas-stage-2-w4
2026-08-07 18:00 AEST | CN   | All Gamers vs TBD | TBD   | Upcoming | https://www.vlr.gg/724623/all-gamers-vs-tbd-vct-2026-china-stage-2-ubqf
2026-08-07 18:00 AEST | PAC  | Team Secret vs DetonatioN FocusMe | TBD   | Upcoming | https://www.vlr.gg/698910/team-secret-vs-detonation-focusme-vct-2026-pacific-stage-2-w4
2026-08-07 20:00 AEST | PAC  | Gen.G vs FULL SENSE | TBD   | Upcoming | https://www.vlr.gg/698911/gen-g-vs-full-sense-vct-2026-pacific-stage-2-w4
2026-08-07 21:00 AEST | CN   | EDward Gaming vs TBD | TBD   | Upcoming | https://www.vlr.gg/724624/edward-gaming-vs-tbd-vct-2026-china-stage-2-ubqf
2026-08-08 07:00 AEST | AMER | 100 Thieves vs Cloud9 | TBD   | Upcoming | https://www.vlr.gg/706374/100-thieves-vs-cloud9-vct-2026-americas-stage-2-w4
2026-08-08 10:00 AEST | AMER | G2 Esports vs LOUD | TBD   | Upcoming | https://www.vlr.gg/706375/g2-esports-vs-loud-vct-2026-americas-stage-2-w4
2026-08-08 18:00 AEST | CN   | TBD vs TBD | TBD   | Upcoming | https://www.vlr.gg/724625/tbd-vct-2026-china-stage-2-lr1
2026-08-08 18:00 AEST | PAC  | KIWOOM DRX vs T1 | TBD   | Upcoming | https://www.vlr.gg/698912/kiwoom-drx-vs-t1-vct-2026-pacific-stage-2-w4
2026-08-08 20:00 AEST | CN   | TBD vs TBD | TBD   | Upcoming | https://www.vlr.gg/724626/tbd-vct-2026-china-stage-2-lr1
2026-08-08 20:00 AEST | PAC  | Global Esports vs ZETA DIVISION | TBD   | Upcoming | https://www.vlr.gg/698913/global-esports-vs-zeta-division-vct-2026-pacific-stage-2-w4
2026-08-09 07:00 AEST | AMER | KRÜ Esports vs Sentinels | TBD   | Upcoming | https://www.vlr.gg/706376/kr-esports-vs-sentinels-vct-2026-americas-stage-2-w4
2026-08-09 10:00 AEST | AMER | LEVIATÁN vs MIBR | TBD   | Upcoming | https://www.vlr.gg/706377/leviat-n-vs-mibr-vct-2026-americas-stage-2-w4
